Time,Room #,Presentation Title,Presenter Name,Session #
Feb. 24 1:50-2:10 p.m.,Room 301,The Missing Meditatio: Leonhard Eulers (1707 1783) contribution to articulatory phonetics,Olivia Hirschey,27
Feb. 24 2:10-2:30 p.m.,Room 301,The Guiding Factor: Music In American Cinema,Jordan Vidmore,27
Feb. 24 1:10-1:30 p.m.,Ballroom A,Crossroads Recording Project: Orchestral Mentoring Program,Ryan Anderson,28
Feb. 24 1:30-1:50 p.m.,Ballroom A,Inspiration and Expression: How Language Revealed My Music,George Barker,28
Feb. 24 1:50-2:10 p.m.,Ballroom A,An Examination of Italian Commedia dell'Arte in Mozart's Opera Buffa,Caitlin Stave,28
Feb. 24 2:10-2:30 p.m.,Ballroom A,Dmitri Shostakovich's <i>The Nose <i>: A False-Start on Russian <i> Avant-garde <i> Modernism,William Thornton,28
Feb. 24 1:10-1:30 p.m.,Theatre,"Film Comparison: ""La Femme infidele"" (1969) and ""Unfaithful"" (2002)",Caleb Allison,29
Feb. 24 1:30-1:50 p.m.,Theatre,Film Music and Audience Expectations,Lauren Leshley,29
Feb. 24 1:50-2:10 p.m.,Theatre,Star Wars' and Sci-Fi's Coming of Age,Caleb Allison,29
Feb. 24 2:40-3:00 p.m.,Room 135,The Intermingling of Art and Science,Alyssa Willard,30
Feb. 24 3:00-3:20 p.m.,Room 135,Queer Photography and the Betrayal of the Image,Philippe (Hyojung) Kim,30
Feb. 24 3:20-3:40 p.m.,Room 135,Banish All The World - The Contrarianism of John Osborne,Joshua Kelly,30
Feb. 24 3:40-4:00 p.m.,Room 135,"Qui est francais?: Negotiating National Identity in Alain Badiou's ""Ahmed philosophe""",Jordan Talbot,30
Feb. 24 2:40-3:00 p.m.,Room 137A,Does the United States' Constitution Protect Black Males from Police Homicide? ,La-James Brown,31
Feb. 24 3:00-3:20 p.m.,Room 137A,A Prosperous Hispanic Population Equates To a Robust America,Edgar  Zamora,31
Feb. 24 3:20-3:40 p.m.,Room 137A,Questionable Immunity,Christopher Bertomeu,31
Feb. 24 3:40-4:00 p.m.,Room 137A,United States of Surveillance,Kyle James,31
Feb. 24 1:10-1:30 p.m.,Room 137B,Effect of black carbon nanoparticles on epithelial cell proliferation,Naomi Beebe,24
Feb. 24 2:40-3:00 p.m.,Room 137B,Phthalate Esters Exacerbate Neurodegeneration in a <i>Caenorhabditis elegans </i> Parkinsons Disease Model. ,Jacob Darley,32
Feb. 24 3:00-3:20 p.m.,Room 137B,Water in the Diet of the Great Basin Pocket Mouse ,Robin Skewis,32
Feb. 24 3:20-3:40 p.m.,Room 137B,A comparison of female-female bridging to male-male bridging in Tibetan macaques (<i>Macaca thibetana</i>),Grant Clifton,32
Feb. 24 2:40-3:00 p.m.,Room 140,Assessment of Anthelminthic Activity of Plant Extracts on Ancylostoma ceylanicum and the Development of a Toxicity Bioassay,Jocelyn McCornack,33
Feb. 24 3:00-3:20 p.m.,Room 140,Detection of <i>Leishmania</i> Parasites via Flow Cytometry,Analiese Wenger,33
Feb. 24 3:20-3:40 p.m.,Room 140,"Evaluation of <i>Trypanosoma cruzi</i> strains in Jalisco, Mexico",Uyen Nguyen,33
Feb. 24 2:40-3:00 p.m.,Room 201,The Road Less Traveled ,Josh  Ingebretson,34
Feb. 24 3:00-3:20 p.m.,Room 201,Library Research Guides:  Adapting To User-Centered Design,Courtney Cox,34
Feb. 24 3:20-3:40 p.m.,Room 201,Effectiveness of the McNair Scholars Program at Central Washington University (1992 to 2002),Pamela Nevar,34
Feb. 24 3:00-3:20 p.m.,Room 271,Look at me I am the Captain now: Media Representations of Somalis and their Implications. ,Saeed Mohamed,35
Feb. 24 2:40-3:00 p.m.,Room 271,For Mark,Austin Loud,35
Feb. 24 2:40-3:00 p.m.,Room 301,"History, Identity and the Origins of the Israeli-Palestine Conflict",Maggie  Krienen,36
Feb. 24 3:00-3:20 p.m.,Room 301,Sharing the Nile : The Grand Ethiopian Renaissance Dam,Matthew Baldwin,36
Feb. 24 3:20-3:40 p.m.,Room 301,Dowry Death and the Caste System in India,Sonya  Rombough,36
Feb. 24 3:40-4:00 p.m.,Room 301,"Language and Legislation: Bilingual Education in the United States, 18th century-present",Olivia Hirschey,36
Feb. 24 2:40-3:00 p.m.,Ballroom A,A Night of Cabaret: Be The Change,Kayla Schaffroth,37
Feb. 24 3:00-3:20 p.m.,Ballroom A,Concert Performance of Clusters by Douglas Hill,Mary Jarvis,37
Feb. 24 3:20-3:40 p.m.,Ballroom A,Concert Performance of Variations on a Five-Note Theme by Russell Garcia,Mary Jarvis,37
Feb. 24 2:40-4:00 p.m.,Theatre,Learning in Museums,Mark Auslander,38
Feb. 24 2:40-4:00 p.m.,Theatre,The ExploreCentral Mobile App: Interpretiing Ellensburg through Digital Technology,Mark Auslander,38
