Time,Room,Title of Presentation/Performance,Presenter Name,Department/Program,Abstract
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Geological Mapping and Analysis of Red Mountain Fault, Owens Valley, California",Erik Larsen,Geological Sciences,"Fault scarps and offset landforms identified using GIS tools and techniques map and describe the Red Mountain Fault in Owens Valley, CA. The Red Mountain Fault (RMF) is a N-S-oriented, west-dipping normal fault that runs parallel to the right-lateral Owens Valley Fault (OVF). The fault scarps span 9.5 km, and are roughly continuous in the north, while the southernmost 3 km are segmented. The fault cuts ~100 ka alluvial fan deposits and 63-84 ka Crater Mountain Basalt, suggesting that all measured offset is younger than ~60 ka. Topographic profiles pulled from a lidar-derived DEM were exported into an Excel program that conducted Monte Carlo analysis to calculate offset by predicting the most likely result and computing the uncertainty. The amount of vertical offset ranges from 0.79 Ò 0.2 m to 7.31 Ò 0.3 m. There has been erosion of the fault scarp and sedimentary deposition on the hanging wall of the fault, so calculated offset values are considered minima. The largest offsets are in the central portion, decreasing towards the ends, a typical offset distribution along a normal fault. Determining the amount of offset and extension along the RMF can help us understand the Quaternary tectonics of Owens Valley, where strain appears to be partitioned between major right lateral faults like the OVF and smaller normal faults like the RMF."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Methods of Assessing Streamflow and Shallow Groundwater Interactions,Jacob Presher,Geological Sciences,"In recent years the importance of groundwater-surface water interactions to stream ecology has been increasingly recognized. Interactions between stream flow and hyporheic flow ?shallow groundwater connected to stream-water? are important to stream ecology by moderating surface-water temperatures, slowing down stream velocity, increasing nutrient residence times, and providing water to the ecosystem beyond the immediate area of the stream channel. The purpose of our research was to determine if and how stream restoration efforts impact interactions between stream flow and hyporheic flow. We collected stream stage and hyporheic potentiometric elevation data from sites in the Reecer Creek Floodplain Restoration project and an unrestored section of Reecer Creek. We installed a piezometer?a perforated hollow steel pipe ?to a depth of 1-2 feet in the stream substrate, and inserted a water pressure sensor within the piezometer. Comparing piezometer water depth to stream depth allowed us to determine the extent of the interaction between the stream and the groundwater within the hyporheic zone. Discharge of hyporheic flow to stream flow (upwelling) is indicated by a higher water level within the piezometer, while stream flow discharge to hyporheic flow (downwelling) is indicated by lower water levels in the piezometer. We predict more interaction between stream and hyporheic flow in restored reaches due to higher permeability of the stream bed, resulting from less silt and more gravel in the substrate. Ultimately we hope to determine if restoration efforts measurably improved stream flow interactions with the hyporheic zone, which directly affects stream ecology. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Identifying sediment and woody debris deposition following peak flows on the Elwha River WA,Ethan  Frenzel,Geological Sciences,"The purpose of this study is to identify relationships between peak flow, sediment redeposition, and woody debris transport on the Elwha River in western Washington during and following the removal of the Glines Canyon dam. Dam removal started on June 1, 2011 and was completed August 26, 2014.  We hypothesized that as portions of the Glines Canyon dam are removed the woody debris and sediment from behind the dam will create logjams, fill in existing bars, and decrease the average sediment size in the channel downstream. Our research was conducted 2-6 km downstream from the dam site. Sediment sizes were surveyed bimonthly and/or following large flood events at four sites during the study period. Surface sediment size was recorded every meter along a cross section for a minimum of 100m.  ArcGIS was used to map large woody debris and log jams on Mosaicked aerial photos of the entire study area, which allowed us to track the transportation of woody debris through the study reach after peak flows and dam removal stages. Woody debris below the Glines Canyon Dam generally increased during the study period. Sediment size initially rapidly decreased as cobble bars were buried by sand released from the reservoir, then increased slightly as the new sediment was reworked. This research will provide valuable information on sediment transport and river dynamics during and after dam removal, which is relevant for planning for the effects of future dam removal projects. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Willows and Soil Invertebrates at Reecer Creek, Ellensburg, WA",Jeff Hashimoto,Ellensburg High School,"We studied the changes over time in the riparian zone of the Reecer Creek Flood Plain Restoration Project in Ellensburg, WA, which is a stream restoration project constructed in 2011. We studied the populations of native vs. nonnative willows and the diversity of soil invertebrate species. We have documented the return of soil invertebrates to Reecer Creek and an establishment of volunteer native willows since 2011."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Reecer Creek Cross Sections and Stream Sedimentation,Jeff Hashimoto,Ellensburg High School,"To visualize the change in the bed of Reecer Creek since the reconstruction of the riparian zone in 2011 we collected cross-sectional depth data from multiple sites in the restored zone. Combining past data from the same locations with the types and amount of sedimentation in the area, we were able to interpret how the creek has adapted to its new meandering course in the floodplain."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Reecer Creek Sediment Size and Embeddedness,Jeff Hashimoto,Ellensburg High School,"The sediment particles in any given stream are a vital factor in determining the suitability of a given location for salmon habitats. The size of the sediment particles and how deeply they are buried in the streambed (embeddedness) in particular are major determining factors for redd survival. We took a random sample of sediment particle sizes and Embeddedness, and ultimately found that there are some midstream and upstream sites suitable for the construction of salmon redds, while the downstream location is uninhabitable."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Black Carbon Levels Within The Ellensburg Community,Jeff Hashimoto,Ellensburg High School,"The Ellensburg High School AP Environmental class measured the concentration of black carbon throughout the community in winter 2015. Using an aethalometer we found black carbon levels both indoors and outdoors, at schools, and at public spaces. Understanding Black Carbon is important because it is composed of ultrafine particles which can contribute to respiratory and cardiovascular diseases, as well as directly contributing to global warming."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Geographical Variations in Black Carbon around Ellensburg, WA",Jeff Hashimoto,Ellensburg High School,Ellensburg High School AP Environmental class used a black carbon Aethalometer to record the concentration of black carbon in multiple locations around Ellensburg during the winter of 2015. We compared black carbon concentrations over both elevation and location. Black carbon is ultrafine particulate pollution that can be absorbed into the lungs and cause respiratory problems.
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Macro-Invertebrate & Water Quality Of Reecer Creek,Jeff Hashimoto,Ellensburg High School,"We studied the Reecer Creek Restoration Project?s Ellensburg, Wash health through water quality testing and macro-invertebrate monitoring. Macro-invertebrate life can be correlated to the characteristics of the water in the creek by identifying indicator species. Additionally, the water quality of the stream would reveal the overall health. Many factors contribute to the quality of the water and macro invertebrate life"
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Building Better Burning Bubbles,Jeff Hashimoto,Ellensburg High School,The aim of our project is to design and evaluate a feasible offshore hydrogen generation plant off the coast of Washington State. Our plant will utilize existing offshore wind and wave generator technology to produce electricity that will power electrolysis. The purpose of the plant is to create a feasible hydrogen generation solution to allow for the phasing out of conventional gasoline. 
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Optimal Wetland for Ellensburg,Jeff Hashimoto,Ellensburg High School,"We researched the carbon dioxide emissions and water pollution for our county, along with the methods and practices involved in constructing a wetland. We then looked at our local climate and geography to determine the ideal location to implement a resulting wetland that would sequester our produced greenhouse gas and purify our water. Our plan incorporated the calculated cost of installation and maintenance, and the long term benefits of the system."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Imagine Tomorrow Transportation,Jeff Hashimoto,Ellensburg High School,"We will map the routes of each high school going to the Imagine Tomorrow Competition in Pullman, WA and use this to identify the best carpooling system. We will attempt to implement this solution for this year?s event. We will also document this process and explore reasons for resistance to carpooling to this event and in general. "
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Expanding Environmental  Awareness  in our Hispanic Community,Jeff Hashimoto,Ellensburg High School,"In 2014 we educated Hispanic families about the 3 R?s (Reduce, Reuse, Recycle) and documented their improvements.  In 2015, we want to educate more families about the 3 R?s and also about other ways they can reduce their resource use.  To broaden our reach, we plan to create a event in which we focus on children so they can spread the word with their parents and other adults.  We plan to teach about the 3 R?s AND other topics like energy use and how it will benefit our community environmentally and economically.

"
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Real-time temperature sounding in Ellensburg,Iliass Tinedrebeogo,Computer Science,"The change of ambient temperature with height above ground is an indicator of atmospheric stability. Air quality forecasters need to know whether an air-shed is stable or not, as the dissipation of air pollution depends on this. while meteorological models predicts stability, a lack of vertical temperature measurements makes it difficult to ""ground truth"" such forecasts. We aim to make a real-time plotting of temperatures with height easily available via interfaces for all devices using the internet. Our contribution is a web dashboard application that monitors the real-time status of the temperature in regard of the height. We are able able to visualize temperature at each vertical height."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,An analysis on the Effects of Burn Severity on Organic Matter in the Snag Canyon Fire,Hannah Pygott,Environmental Studies,"Depending on severity, wildfires can slow forest regrowth, the more intense fires removing soil organic matter, in turn leaving the soil less fertile. We analyzed the effect of fire severity on soil organic matter and texture within the Snag Canyon Fire which was caused by lightning in extremely dry conditions in the summer of 2014. We hypothesized an inverse relationship between fire severity and soil organic matter in burned areas and a change in soil properties. We first analyzed satellite imagery to identify low, intermediate, and high intensity burned areas within the overall fire boundary. Next, we collected 30 soil samples from each burn severity to measure organic matter via mass lost on ignition. In addition, we conducted a soil texture test in the field to infer soil type. We found significantly less organic matter within the high burn severity zone compared to the low and intermediate burn severity zones (ANOVA, p-value<0.005). We also found that soil texture was coarser in the high burn severity area due to the lack of finer organic content compared to the area?s normal soil type. Our findings support the idea that fire severity can have significant effects on soil characteristics and organic content. This information is important for land managers focused on post-fire landscape rehabilitation and erosion control. Lastly, the satellite data did not accurately represent what we found in the field, which emphasizes that field work is required to ensure accuracy of burn severity analysis when using remotely sensed data."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Holocene fire history of the area surrounding Lemanasky Lake, eastern Cascades, Washington ",Grant Clifton,Geography,"Macroscopic charcoal analysis of lake sediments has been successfully used to reconstruct past fire patterns throughout the Pacific Northwest; however, there has been little research done on the forests of the eastern Cascades of Washington. This research reconstructs the fire history of Lemanasky Lake, WA (48.7¯N, -119.6¯W; elevation: 1088 m), located in the Cascade foothills near the Sinlahekin Wildlife Area, roughly five miles northwest of Tonasket, WA. The analysis of macroscopic charcoal from a five meter long sediment core provides a record of Holocene fire activity in the forest surrounding the lake. The primary research question addressed in this study is: ?How has fire activity changed at the study site during the Holocene, and what has been the cause of those changes?? In order to reconstruct the local fire history of the site, we counted all macroscopic charcoal particles >125 microns from contiguous 2 cm3 samples taken at 1 cm intervals. Our results suggest intentional fire suppression during the last ~100 years, which was preceded by frequent, low severity ground fires, with less fire activity prior to that. This reconstruction not only facilitates our understanding of changes in fire frequency and severity at the site as a result a past climatic variability, but more importantly shows how 20th century fire suppression has affected the forest. Additionally, the results may assist landowners within the wildlife-urban interface of Washington in implementing safe fire management practices."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,"Towards the Synthesis of Novel 1,3-Azaborines as Potential Hiv-1 Protease Inhibitors",Katherine Norris,Chemistry,"HIV-1 protease is an enzyme responsible for creating mature HIV viral particles. Recent studies have shown that boron-modified inhibitors have a higher affinity towards the protease than their corresponding non-boronated analogs and have inhibitory affinity towards an HIV-1 protease variant that is resistant to several HIV-1 protease inhibitors. The main goal of this research is to synthesize a library of both straight chain and cyclic boronates that potentially have dual-mode, competitive and associative, inhibitory action against HIV-1 protease, mimicking the transition state analog of the natural substrate and interfering with the viral life cycle. The borinic acid target compounds are chiral 1,3-azaborines that will potentially have a greater affinity towards the enzyme and better bioavailability, less toxicity, and fewer side effects than the currently used pharmaceuticals. Both straight chain and cyclic boronates are being synthesized which will serve to expand molecular diversity, as well as organoboron chemistry in general. Due to the structural rigidity of cyclic boronates, they are expected to be better inhibitors than their straight chain analogs."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Theoretical Study of the Flame Synthesis of the Titanium Dioxide Nanoparticles,Kui Ting Lam,Chemistry,"Titanium dioxide (TiO2) nanoparticles have been used for various applications in our daily lives. For example, the TiO2 nanoparticles are used in contaminant remediation, food coloring, coating for polymers, and photocatalysis. Dye-coated TiO2 nanoparticles help convert solar energy into electricity and are thus used in solar cells. While TiO2 nanoparticles have so many useful applications, the mechanism of the flame synthesis of the TiO2 nanoparticles is not well understood. In this research, we will study the chemical mechanism of the flame synthesis of the TiO2 nanoparticles. This mechanism involves various gas-phase and surface reactions between titanium species. Density functional theory methods will be used to model these reactions. In the end, we will be able to propose the mechanism of the flame synthesis of the TiO2 nanoparticles through the density functional theory calculations. The ultimate goal is to provide theoretical guidance on the size and surface control of the manufactured TiO2 nanoparticles. The benchmark coupled cluster calculations and 42 different DFT methods calculations using 6-311+G(d) basis set have been done in order to obtain reliable data for Ti-O-Cl species. Among the 42 DFT methods, B98 gives the best overall results to predict Ti-O-Cl species energies, geometries and vibrational frequencies."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Hydrogen Peroxide Production in the Presence of Soot and Biological Electron Donors,Jeff Barnes,Chemistry,"The detrimental effects of carbonaceous nanoparticles emitted from fuel combustion are well known, but their underlying chemical mechanisms are not.  Particle toxicity is generally thought to stem from the in vivo production of reactive oxygen species (ROS), but the details remain tenuous.  Here, experiments were carried out to investigate the production of hydrogen peroxide (H2O2), an ROS, as a function of soot characteristics and redox-active iron content in the presence of biological electron donors.  At biologically representative concentrations, results show that the presence of soot is essential in the continuous production of H2O2 at concentrations on the order of hundreds of nM and that a small redox-active pool of iron may be responsible for the conversion of H2O2 to a more potent ROS, hydroxyl radical (OH.).  Further investigation on the role of particle characteristics is underway.  Data from this study is likely to lead to a better understanding of the reactivity and transformation of carbonaceous particles in a variety of settings."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Mobile Air Quality Monitoring in Ellensburg during Winter 2015,Megan Baker,Chemistry,"Ambient particulate matter smaller than 2.5 Êm in diameter (PM 2.5) has been shown to correlate with serious health issues such as pulmonary and cardiovascular disease, as well as asthma.  In recent years, air quality in Ellensburg has exceeded the national 24-hr average of 35 Êg m-3 during winter months as well as during wild fire events, yet continuous air quality monitoring for the Ellensburg area is limited to a single monitoring site on top of the Hal Holmes Community Center.  The purpose of this Department of Ecology funded research was to further characterize the sources and geographic distribution of PM in Ellensburg during colder evenings in January through March of 2015.  To this end, three different types of instruments were placed in a vehicle and a set track of ~16 miles was driven five times over the course of one evening to obtain air quality data in the area.  Instruments consisted of two EPA approved portable nephelometers (for PM2.5), one aethelometer (for black carbon), and two microaethelometers (for personal monitoring of black carbon).  GIS mapping tools and statistical software programs will be used analyze the data geographically, temporally and comparatively to identify hotspots.  Results from this research will aid in understanding causes of poor air quality in Ellensburg and thus be used to mitigate against further deterioration of our air as well as to increase awareness of air quality issues in our community."
Mar. 13th 8:30-11:00 a.m.,Ballroom B/C/D,Manipulating the kinetics of methylene blue and phenol red in thin-film sol gel,Kelsey Miller,Chemistry,"The purpose of this experiment was to observe and manipulate the kinetics of methylene blue and phenol red in thin-film sol gel. Methylene blue is an oxygen indicator and can detect if it has been exposed to the atmosphere. Phenol red is a pH indicator and can detect a change in hydrogen ion concentration.Being able to change the reaction rate from instantaneous to a significant period of time has a wide range of implementations from biomedical to sensor applications. In order to alter the kinetics the two dyes were analyzed under several different reaction conditions. The methylene blue solution was altered by changing the ratio of methylene blue to Tin (II) Chloride. The phenol red solution was changed by altering the pH to neutral, basic and acidic conditions. The physical state of the sol-gel was also altered along with the dye/sol-gel ratio. The reaction rate of both dyes was determined by analyzing the solutions using ultra-violet visible spectroscopy. Ultra-violet visible spectroscopy was used to collect data of the change in absorption over the change in time. The data from the pH experiments showed no significant decrease in kinetics while the methylene blue system has controllable changes up to several hours."
