Time,Room #,Presentation Title,Presenter Name,Session #,Mentor,Mentor Department,Abstract
Feb. 24 08:30-8:50 a.m.,Room 137A,"Rodriguez v. United States, United States Supreme Court Panel",Elizabeth Allison,6,Teresa Francis Divine,Law & Justice,"Rodriguez v. United States explores the use of drug detection dogs by police officers while conducting routine stops. It examines the citizen's interest in privacy as opposed to the benefit to police of drug detection. Rodriguez argues that his traffic stop by police was complete but was unreasonably prolonged after he denied consent to a dog sniff of his car, and that the wait for a backup officer to arrive at the scene was beyond reasonable. The state argues that the delay was short, and therefore the stop was reasonable. Since a drug detection dog is only trained to detect contraband, the invasion of privacy is minimal. This presentation examines both arguments that are before the Supreme Court of the United States and the implications for society."
Feb. 24 08:30-8:50 a.m.,Room 137A,City of Los Angeles v. Patel,Justine Brassfield,6,Teresa  Francis-Divine,Law & Justice,"The Fourth Amendment of the United States Constitution was established to protect citizens from unlawful search and seizure conducted by the government. Over the years, government investigations into closely regulated businesses has been an issue argued in numerous venues. The courts have ruled that businesses such as hotels do not have an exclusive expectation of privacy because the benefit of randomly searching motel/hotel registries has helped society by fighting crimes such as prostitution and sex trafficking. There is a conflicting opinion of the Sixth and Ninth Circuit Courts of California that determines whether hotels are protected under the Fourth Amendment. In City of Los Angeles v. Patel, it will be determined whether hotels have an expectation of privacy per the Fourth Amendment by the Supreme Court of the United States. I will discuss impact of the courts’ decision whether warrantless searches of hotel registries are a violation of the Fourth Amendment."
Feb. 24 08:30-8:50 a.m.,Room 137A,Examining the Intersection of Sexual Orientation and the Right to Marry: Obergefell v. Hodge and Equal Protection,Elizabeth Sayre,6,Cody Stoddard,Law & Justice,"The legal and political climate surrounding sexual orientation and the right to marry is riddled with conflict and questions. Various states currently do not allow nor recognize marriage between same-sex couples. Hence, these couples are denied the legal privileges under the law that are guaranteed to married couples of the opposite sex.  In order to address this legal conflict, the United States Supreme Court has agreed to hear arguments on two separate questions regarding equal protection and the right of marriage: 1) are states that have same-sex marriage bans required to recognize legal marriage licenses from other states; 2) is marriage a fundamental right that should be extended to same-sex couples? This presentation will discuss the previous case law surrounding same-sex marriage, explain the legal issues at hand, discuss the implications of the courts decisions, and make a prediction of how the court will rule."
Feb. 24 08:30-8:50 a.m.,Room 137A,Supreme Court and the Modern Death Penalty Doctrine: Hall v. Florida and the Application of the Death Penalty,Njambou  Jammeh,6,Cody Stoddard,Law & Justice,"This research will examine the Supreme Court’s decision involving the application of the death penalty in the State of Florida on the subject of the execution of an individual with intellectual disability. Precisely, I will examine the Hall v. Florida decision handed down by the Supreme Court on May 2014, in which the Judges of United States highest court constructed their decisions on an establish Supreme Court case Atkin v. Virginia . In Atkin v. Virginia, the U.S. Supreme Court concluded that criminal defendants with mental retardation could not be sentenced to death or be executed due to the fact that such an execution would constitute cruel and unusual punishment and therefore it violates an individual’s constitutional right,  but most importantly cruel and unusual punishment was prohibited by the Eighth Amendment. Using Atkins as precedent, the USSC addressed the constitutionality of Florida’s application of the death penalty when dealing with individuals with an intellectual disability. This presentation will outline in cooperation of Hall v. Florida, Atkin V. Virginia, and the role of the Supreme Court when protecting individuals with intellectual disability from the death penalty. The research will include previous case law, legal questions decided, holding and rational of the court, facts of the case, and policy implications for the area of law and as well as the criminal justice aspect."
Feb. 24 08:30-8:50 a.m.,Room 137B,The Social Business Card,Kevin Haro,7,Holly  Johnson,Computer Science,"We present a cross platform mobile application that facilitates the distribution of personal and professional contact (i.e. business card) information. This application allows users to enter any contact 'handle' (e.g. phone email or Facebook). In addition to all of an individual's contact information being in one convenient place, users can also distribute their information to other users easily via a high performance user interface. Furthermore, users will have the ability to make multiple versions of their business card. For example, a user's social media accounts can be put into a personal card that can be distributed to friends and family. Similarly, more business oriented forms of communication can also be placed into a professional or business card and sent to potential clients. This application helps to mitigate information exchange issues such as: complex contact data transfer between individuals, outdated contact information, and non-standardized ways to present contact information. In addition to expediting the process of exchanging contact information with personal or professional individuals, this application also allows the aforementioned cards to updated dynamically as well as distributed readily to the various accounts (e.g. email, social media) of different people. This project is currently in development and facilitates the transfer of contact information via Bluetooth connectivity. This instance of the project is only being developed for the android mobile operating system at this time as development for IOS requires the use of fee-based licenses and related tools. Looking forward, our development plans include the implementation of more efficient methods to transfer data as well as development for the Apple IOS."
Feb. 24 08:30-8:50 a.m.,Room 137B,Measuring the Bias of the Media's Many Voices,Paul Williams,7,Filip Jagodzinski,Computer Science,"Breaking news is often delivered by various sources of media, but the wording used can elicit a specific response from the readers, creating bias. We have created a suite of tools for conducting media bias research. Our beta version uses an open source web spider toolkit called Scrapy to obtain the media website’s text. This web spider is implemented by custom built back-end Python and Bash scripts. These scripts generate an XML file containing the text gathered from the media websites. Our web tool calculates metrics for performing media bias analysis by use of a large library of adjectives that are rated as either positive or negative. Finally, the tool displays those metrics for the user on a web graphical user interface. Using this first version of our tool, we are able to demonstrate a ranking of the bias of the text of two media sources."
Feb. 24 10:20-10:40 a.m.,Room 137B,How Your Phone Can Make You Happy,Jennifer Thomas,7,Filip  Jagodzinski,Computer Science,"Researchers have shown that happiness is influenced by level of gratitude, a healthy amount of giving, and a more internal, rather than external, locus of control.   Current mobile phone applications meant for increasing happiness provide generic tips on how to be happier, but are not tailored to each individual user.  Our work centers on the premise that a mobile phone application can be more successful if it provides the user with recommendations based on his or her input.  We are developing android and iOS mobile phone applications that will aid in increasing the user’s happiness.   The core functionality of our mobile phone applications, which sets them apart from those already in existence, is based on a custom algorithm that incorporates the measurement of the three determinants for a user’s current level of happiness and makes suggestions of specific tasks the user could do to be happier. The algorithm is designed to output tasks that account for 27 unique happiness profiles, and also accounts for individual input, or preferences,  such as whether or not the user will visit a store that day, will be at work, or is able to purchase a gift as a part of giving to others. These suggestions are provided on a daily basis, one per day, and change accordingly based on continuing user input."
Feb. 24 10:40-11:00 a.m.,Room 137B,Modeling Humor Within Text:  Data Mining and Visualization Strategies for Automated Joke Detection,Andrew Smigaj,7,Boris Kovalerchuk,Computer Science,"The goal of this project was to investigate the use of data mining and visualization as an approach to modeling humor within text.  In particular we developed algorithmic and automated approaches to visualizing and detecting belief shifts as they occur as intelligent agents parse meaning from garden path jokes.  Garden path jokes can occur when a reader's initial interpretation of an ambiguous text turns out to be incorrect, leading them down the wrong path to a semantic dead end. Given new information semantic incongruities arise that require resolution, often triggering a humorous response. For both humans and computers parsing of meaning requires an ontology describing what type of things exist in the world and how they are connected, and methods for establishing belief given uncertainty and ambiguity.  One major aim of this project has been to explore automated methods for identifying what things exists in this world and how they are related, using the world wide web as a massive corpus of natural language data for knowledge discovery.   The methodology and tools resulting from this project offer a new approach to testing and generating hypothesis related to theories of humor, as well as many other incongruity based linguistic phenomena. "
Feb. 24 9:40-10:00 a.m.,Room 140,Geographical Analysis of Peoples' Perceptions of a Political Campaign for County Auditor,Trinity Turner,8,Elvin Delgado,Geography,"Local elections often have a greater effect on people than national elections. However, very little research in electoral geography has been done to examine small-scale local elections in the United States. This paper attempts to fill this gap and offer suggestions for further research and analysis. This paper examines peoples’ perceptions of a local political campaign in Spokane County to see if there are significant differences between rural and urban voters. The researcher used a mix of ethnographic methods to collect data during the 2014 campaign for Spokane County Auditor. Preliminary findings suggest that location was not a significant factor shaping voters’ perception, but rather their political involvement. Further research should be done in this area to gain a better understanding of the perceptions and effects of local elections and their outcomes.

"
Feb. 24 10:00-10:20 a.m.,Room 140,Analysis of Pollution in the Niger Delta,Chad Chambers,8,Jennifer Lipton,Geography,"Since the year of 1957, the discovery of oil in the Niger Delta became an important source of revenue for the Nigerian government. Unfortunately, this resource is being exploited and resulting in pollution. So, does recent Landsat imagery illustrate the present continuation of this pollution? Clearly, there is evidence of air and water oil pollution; it can be identified using current January 1st, 2015 data from Landsat 8 imagery paths 187, 188 and row 57. This can be done by manipulating band composites to illustrate gas flares in Short-Wave Infrared bands I & II as well as the red band; a normalized difference water index ratio (Green-NIR/Green+NIR) can also be applied to show the difference between biomass (fish populations). Thus, evaluating brightness values and spectral reflectance graphs will illustrate irrefutable evidence that large corporations such as Royal Dutch Shell are polluting both water and air in the Niger Delta; they are destroying the environment and social stability of the residents in the region by practicing unsustainable methods of extracting oil. "
Feb. 24 10:20-10:40 a.m.,Room 140,"River Channel Migration in the Teanaway Community Forest, Washington from 1954 to 2013",Alison Gray,8,Jennifer Lipton,Geography,"The purpose of this project was to analyze river channel migration in the North, Middle, and West Forks of the Teanaway River located in the Teanaway Community Forest, in north central Washington to determine the amount of change that has occurred from 1954 to 2013. Tracking this change in the Teanaway Community Forest is important to decipher what kinds of restoration can be done in the floodplain to help riparian growth. Using geographic information systems (GIS), aerial photographs from five different years were georeferenced to a National Agriculture Imagery Program (NAIP) image of Kittitas County to account for a sixty year time period with approximately 10 years between each set of photographs. Only images where the river is present and located within the boundary of the Teanaway Community Forest were used in the georeferencing process. The river channels were then digitized from each year and compared to each time period to get an idea of migration and width changes. Areas of large change over the time period were selected and individual maps were made of each of these areas. Preliminary analysis shows that areas with small changes in river channel migration between 1954 and 1978 encountered large changes in channel migration by 2013. Knowing these areas of small and large change will help to focus restoration projects in the Community Forest."
Feb. 24 9:40-10:00 a.m.,Room 201,Brushing Up on Oral Health: Childhood Oral Health Education in Ellensburg,Lindsey Bates,9,Tishra Beeson,"Physical Education, School & Public Health","The intent of this service learning project was to develop and execute a health promotion strategy that would improve dental health behavior of 1st grade students. The objectives of our promotion were as follows; to survey existing oral health behaviors, educate on the importance of dental health, explain the effects of healthy and unhealthy snacks on dental health, teach proper brushing techniques, facilitate positive attitudes towards healthy behavior, present a fun, age appropriate curriculum, provide tools to support a sustainable change in health behavior, assess program efficacy. We met our objectives by first creating an interactive and age appropriate curriculum for the 1st grade pilot class to whom we presented (n=70). We then surveyed the pre-existing dental habits of these students by using a “heads down, hands up” method, in an attempt to eliminate peer influence on student responses. Next, we presented information on the importance of good, consistent dental habits, and healthy snacking. We demonstrated proper brushing techniques and then gave the students toothbrushes, and toothpaste and guided them through practicing the techniques they had just learned. We closed our presentation by re-surveying the students, and found that they had a significant increase in skills and knowledge. Not only did our data prove that our health promotion strategy was effective, but the fact that we were asked to come back and present to three additional classes spoke to the overall success of this presentation."
Feb. 24 10:00-10:20 a.m.,Room 201,Barriers to Breast and Cervical Cancer Screenings for Underserved Women: Results From the Health Information National Trends Survey,Janelle Wylie,9,Tishra Beeson,"Physical Education, School & Public Health","Breast and cervical cancer screenings are effective early detection measures for reducing cancer mortality among women. Following the U.S. Preventative Services Task Force guidelines, this study aims to examine the utilization of the recommended mammogram and cervical cancer screenings among subgroups of women using the Health Information National Trends (HINTS) dataset. We used the most recent iteration of the HINTS Cycle 3 survey to conduct unpaired t-tests and multiple regression models of mammogram rates among women over age 50 (n=1,105) and cervical cancer screening rates among women age 21-65 (n=1,353). It was found that nearly 1-in-4 women over age 50 did not receive the recommended mammogram, while 19% of women age 21-65 did not get the recommended cervical cancer screening. Age (p-value < 0.001, p-value <0.001), being unemployed (p-value=0.033, p-value=0.047), being uninsured (p-value <0.001, p-value <0.001), not having a regular provider (p-value <0.001, p-value <0.001), having less than a college degree (p-value <0.001, p-value=0.001) and not being married (p-value <0.001, p-value <0.001) were all associated with not receiving the recommended mammogram or cervical cancer screening, respectively. Compared to uninsured women, those who have health insurance are 1.93 times more likely to receive a mammogram (p-value=0.042) and 2.45 times more likely to receive a cervical cancer screening (p-value=0.033), when accounting for all covariates in the multivariate models. Understanding which sub-groups of women are less likely to receive essential cancer screenings will help guide public health interventions aimed at improving early detection among at-risk women. "
Feb. 24 10:20-10:40 a.m.,Room 201,Effects of taurine and chocolate milk supplementation on body composition and nitrogen excretion in triathletes,Flavia Carvalho,9,Kelly Pritchett,"Nutrition, Exercise & Health Science","Chocolate milk has been suggested to be an effective post exercise recovery beverage due to the ideal carbohydrate to protein ratio, while taurine supplementation may increase energy expenditure and favor carbohydrate metabolism. Therefore, research examining the combination of taurine with chocolate milk after exercise on insulin action in order to favor carbohydrates metabolism regulation, assist with muscle recovery, and prevent protein catabolism is warranted. The purpose of this study was to evaluate the effects of taurine and chocolate milk supplementation on body composition and nitrogen excretion in triathletes. A double-blind, crossover study was conducted with 12 male triathletes, age 25 to 35 years. 3 grams of taurine and 400ml of chocolate milk (TAUchoc), or a placebo (400 ml of chocolate milk) (CHOC) was ingested post exercise for eight weeks. A two week washout period was implemented in between trials. Body composition was measured using the deuterium labeled water method and 24 hour urinary nitrogen excretion was measured using the chemiluminescent method before and after 8 weeks of training and supplementation with TAUchoc or CHOC. An ANOVA suggested TAUchoc during the 8 weeks resulted in a significant (p= 0.029) reduction in urinary nitrogen excretion (33%), while CHOC provided significant reductions in body weight (PRE: 77.4±2.4 kg and POST: 76.5±2.3 kg, p=0.034) and body fat percentage (PRE: 17.8±1.2 % and POST: 15.5±1.5, p=0.036)  In conclusion, the addition of taurine to post exercise chocolate milk consumption prevented protein catabolism, while chocolate milk alone resulted in a more favorable body composition."
Feb. 24 10:40-11:00 a.m.,Room 201,Governmental Responsibility for Public Health: The Road Traveled and What Lies Ahead in Public Health System in China,Zhenghao Pu,9,Rex Wirth,Political Science,"In 2008 the Chinese government  launched reforms that would consolidate public heath responsibilities in a single decentralized multifunctional department. At the same time the mission of “public health” was broadened.  This new understanding is very similar to the definition used by Institute of Medicine (IOM): “fulfilling society's interest in assuring conditions in which people can be healthy” and as “organized community efforts aimed at the prevention of disease and the promotion of health.” Since these broad definitions encompass the interventions of a wide variety of public and private-sector entities in the United States, an understanding of these complex yet integrated arrangements can inform China’s reform efforts. This project is an initial mapping of arrangements in the United States that pays special attention to the institutional arrangements that effectively deal with current reform problems in China and draws some lessons from the American model."
Feb. 24 9:40-10:00 a.m.,Room 271,The New Radicals: Education and Literature for the Emancipation of Russian Women,Elizabeth Seelye,10,Roxanne Easley,History,"Russian literature of the 1860s served as a catalyst for upper-class Russian women to question the trajectory of Russian society and their place in it. Literature became one of the few outlets for young women to identify and articulate dissatisfaction with the inequality of educational options offered to them. Empowered by the literature of the 1860s that inspired women to step outside the sphere of domesticity, they become active members in the Russian revolutionary currents that were sweeping through the empire.  They demanded equal educational rights, and when that was denied, they found ways to work around the oppressive bureaucratic system that was the Russian autocracy. Literature taught women that they should no longer view themselves as lesser members of society, but as individuals who were just as capable as their male counterparts. By demanding equal access to education along with literature that was inspiring women to become active in politics, women were becoming part of the radicalism that was sweeping through the empire. "
Feb. 24 10:00-10:20 a.m.,Room 271,Preserving the Race: Gendered violence in the early conservation movement,Patience Collier,10,Brian Carroll,History,"This paper examines the ways in which the conservation movement was a response to racial and gender tensions in the late nineteenth century. In the wake of urbanization, immigration, and increasing racial diversity, there were broad cultural concerns about the decline of white masculinity as a result of the changing environment, as well as concern about the decline of femininity as the suffrage movement grew. The responding political and cultural environmental movement was split, but both sides considered strong gender roles necessary in order to encourage the health of the white race. The hyper-masculine part of the conservation movement was best represented by the “rugged manliness” philosophy of Theodore Roosevelt. Roosevelt equated manliness with violence, and supported the conservation of wilderness as a proving ground for white masculinity. On the other side of the movement were preservationists, who supported preserving the wilderness for its own sake. They were associated with more passive hobbies such as bird-watching, and were frequently feminized by the media, despite being led mainly by men. This gendered division had a powerful effect on the sociopolitical culture of environmentalism. "
Feb. 24 10:20-10:40 a.m.,Room 271,Friend or Foe: Foreign Diplomacy in 1861 Civil War America,Robert Moser,10,Jason Dormady,History,"At the beginning of the American Civil War, as the looming threat of succession hung over the Union, the United States government was commencing its efforts to seek out allies to aid in reuniting the nation. More importantly, they were searching for an answer to whether or not foreign aid would be provided to the Confederacy.  In 1861, the State Department began navigating the murky depths of foreign diplomacy in an attempt to ward off foreign intervention. Desperate to preserve a nation, Secretary of State William H. Seward embarked on a political journey to seek new alliances and prevent unwarranted intervention. By examining official communications from the US State Department, Seward and his deputies, dutifully crafted a narrative that sought Russia as a ally and attempted to stave off Britain from becoming an interventionist in support of the Confederacy."
Feb. 24 10:40-11:00 a.m.,Room 271,Manners of the City of Edo,Hideki Takei,10,Hideki Takei,ITAM,"The City of Edo was one of the largest cities in the world in the 18th century.  As the capital city of Japan in the Tokugawa Shogun era, Samurai was initially the dominant residence of the city.  However, as Samurai did not have ways to produce own foods and products for their life, many retailers and manufacturers in Kyoto and Osaka were invited to the city by the Tokugawa.  Soon, as the retailers bridged between Samurai and manufacturers, the retail industry became the dominant industry of the city.  As the dominance became so obvious, business manners for the retailers became general manners of the people of the city. This presentation will show examples of such manners."
Feb. 24 9:40-10:00 a.m.,Theatre,Everything is Permitted: Redesigning Ezio from Assassin's Creed 2 as a Female Character,Ashley Baker,12,Ruthi Erdman,English,"This project throws female archetypes in videogames away by turning one of the most popular male characters into a believable, playable female character. Fueled by research in history, costume design and construction, Ezio Auditore from Ubisoft’s Assassin’s Creed: 2 is redesigned as Ezia Auditore. In this game, Ezio loses his brothers and father to a conspiracy against his family. In his acts of vengeance against his enemies, Ezio learns of the Assassin Order his father was secretly part of and their battle with the Templars. Research for this project breaks down into three parts: videogame, history, and costume. The videogame section looks into the world of the franchise. Who is Ezio? Who are the Assassins? What is his life like in Renaissance Italy? The history section focuses on the differences between the lives of men and women. What was the late 15th century like? What was life like for an Italian lady at this time? Lastly, the costume section looks specifically at how women presented themselves. What were women wearing? How did they style their hair? These pieces culminate into the final question: How will the implementation of research change Ezio, his costume, and how the game is played? Using this, Ezio turns into Ezia, a woman assassin of the Renaissance who enacts her vengeance while masquerading as a courtesan to get close to her enemies. She faces a loss in status with the loss of the men in her family, but a gain in independence as she finds freedom through the Assassins. Her costume design contains the original spirit of Ezio while embracing the fashion of Italian women in the late 15th century. The entire project culminates in a final realized costume that explores the character’s design, movement and functionality."
Feb. 24 10:00-10:20 a.m.,Theatre,Womens Roles as Tradition-bearers: Equality and Revitalization,Diane Williams,12,Tracy Andrews,Anthropology & Museum Studies,"At the very core of anthropology is the ongoing question of how cultures develop, change, and adapt. Cultural perspectives on gender roles, for example, can change based on decisions made by both men and women as the members of emigrant populations navigate ways to survive in new environments. For centuries, the contributions of Scottish women as active tradition-bearers in Scotland have often been overshadowed by a focus on the many public roles of men. Since arriving in Cape Breton Island in the mid-18th century, the culture of the original Scottish settlers has experienced significant changes relative to the political and economic changes in the larger context of the region. Previous research from the 1970s predicted the Gaelic language and culture would disappear from the island by the year 2000. My research examines the changing roles of contemporary Cape Breton Highland women (1950 – 2014) in the maintenance and transmission of Scottish culture and traditions, and challenges the assumptions of previous scholars that the language and culture are dying out. Data were collected over a seven-week period through participant-observation at cultural events, archival research at the Beaton Institute, and 13 face-to-face interviews with women of Gaelic descent. The analysis clearly indicates that, not only have women’s roles as tradition-bearers changed, but their contributions are being acknowledged and supported by the Gaelic community in the movement towards maintenance and revitalization of the language and the culture."
Feb. 24 10:20-10:40 a.m.,Theatre,How Social Factors Limit American Access to Abortion,Cheyenne Weishaar,12,Judith Hennessy,Sociology,"Female reproductive health care, primarily access to contraceptives and abortions, has been a hot topic for the past few years, and will continue to be an important issue that needs to be addressed in the United States. Though abortion has been legal since the Roe v. Wade Supreme Court decision forty-two years ago, access to legal and safe abortions is not widespread in all states. This presentation will utilize secondary research to explore the social and cultural structures that prevent women from obtaining abortions and will analyze cultural beliefs—including religious views, and the moral beliefs surrounding the fetus—that may inhibit some women from obtaining abortions. I will also consider legislation, how it may be related to religious and moral issues, and how these can affect access to reproductive health care as well as the roles education and socioeconomic status play in women’s access to abortion. My presentation will demonstrate that abortions are not equally accessible to all women in the United States, and that social factors do limit the accessibility of this procedure. "
Feb. 24 10:40-11:00 a.m.,Theatre,"Feminism, Fantasy and the 4th Wave",Ginny Blackson,12,Ginny Blackson,Library,4th Wave Feminism is an evolving theoretical construct deeply based in activism outside the traditional avenues used by prior generations.  This session will exam how this new generation of feminism is influenced by and reflected in contemporary Young Adult Fantasy novels by authors like Tamer Pierce and Melinda Lo.  
Feb. 24 11:40-12:00 p.m.,Room 135,Adventure Girls - written story,Elsie Cziske,13,Matthew  Cziske,,"Have you ever wondered what would happen to two girls that got lost in the woods? Well you’re about to find out in a story written by two fourth grade girls, Abby Grant and Elsie Cziske called, Adventure Girls. Adventure Girls came about from a sleepover. We often get together for sleepovers as all fourth grade girls love to do! Our favorite activity to do together is write stories, and one night when looking for an activity we took our mother’s suggestion of writing a book and got started. Because we love adventures we decided we should make a story about the adventures of two friends just like ourselves. We brainstormed about what adventures they should do, what they should run into, and who their friends should be. The two main characters are Kelsey and Chelsey who are sisters and best friends. This story follows them on their adventure at school where they are confronted by bullies and become lost in the woods. The adventure really begins as they search for a way back home. Through the process of writing we have learned how to work together and develop a topic. We hope our story will inspire others to challenge themselves to become writers"
